"$54,764 ","$126,013 ","$96,675 "
,,
"$57,725 ","$119,437 ","$88,581 "
,,
,,
,,
"$39,185 ","$112,297 ","$74,001 "
,,
"$72,194 ","$103,965 ","$98,670 "
,,
"$45,427 ","$110,235 ","$88,633 "
,,
,,
"$208,748 ","$75,000 ","$145,059 "
,,
"$62,545 ","$142,196 ","$112,327 "
,,
"$57,232 ","$80,600 ","$76,705 "
,,
"$46,981 ","$74,023 ","$66,297 "
,,
"$77,654 ","$195,000 ","$146,681 "
,,
"$108,414 ","$239,286 ","$190,209 "
,,
"$33,215 ","$75,455 ","$65,707 "
,,
"$57,859 ","$180,881 ","$130,225 "
,,
,,
,,
"$64,501 ","$128,134 ","$104,271 "
,,
,,
,,
"$71,098 ","$139,792 ","$107,252 "
,,
,,
"$60,063 ","$166,952 ","$122,939 "
,,
,,
,,
"$54,696 ","$121,743 ","$91,945 "
,,
"$47,363 ","$85,821 ","$73,002 "
,,
,,
"$58,018 ","$86,746 ","$78,538 "
,,
,,
,,
"$58,230 ","$109,515 ","$94,862 "
,,
,,
"$52,376 ","$72,671 ","$66,873 "
,,
,,
"$52,081 ","$99,286 ","$78,306 "
,,
"$48,347 ","$76,503 ","$70,005 "
,,
"$70,875 ","$209,784 ","$152,586 "
,,
"$38,473 ","$62,431 ","$51,083 "
,,
,,
"$60,417 ","$131,794 ","$102,403 "
,,
,,
"$61,793 ","$165,301 ","$119,298 "
,,
"$41,377 ","$99,090 ","$75,326 "
,,
,,
"$73,797 ","$216,704 ","$175,873 "
,,
"$62,715 ","$89,714 ","$82,000 "
,,
"$70,255 ","$65,833 ","$67,654 "
,,
